Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,693,24.8375,0.84375,0,24.8518,12939,,,,,,
block_2,690,24.8375,0.7875,0,24.85,12937,,,,,,
block_2,689,24.8375,0.73125,0,24.8483,12936,,,,,,
block_2,678,24.8375,0.675,0,24.8467,12928,,,,,,
block_2,677,24.8375,0.61875,0,24.8452,12927,,,,,,
block_2,674,24.8375,0.5625,0,24.8439,12925,,,,,,
block_2,673,24.8375,0.50625,0,24.8427,12924,,,,,,
block_2,630,24.8375,0.45,0,24.8416,12892,,,,,,
block_2,629,24.8375,0.39375,0,24.8406,12891,,,,,,
block_2,626,24.8375,0.3375,0,24.8398,12889,,,,,,
block_2,625,24.8375,0.28125,0,24.8391,12888,,,,,,
block_2,614,24.8375,0.225,0,24.8385,12880,,,,,,
block_2,613,24.8375,0.16875,0,24.8381,12879,,,,,,
block_2,609,24.8375,0.1125,0,24.8378,12877,,,,,,
block_2,607,24.8375,0.05625,0,24.8376,12875,,,,,,
block_2,608,24.8375,0,0,24.8375,12876,,,,,,
block_2,952,24.775,1.8,0,24.8403,3392,,,,,,
block_2,951,24.775,1.74375,0,24.8363,13131,,,,,,
block_2,948,24.775,1.6875,0,24.8324,3391,,,,,,
block_2,947,24.775,1.63125,0,24.8286,13128,,,,,,
block_2,936,24.775,1.575,0,24.825,3389,,,,,,
block_2,935,24.775,1.51875,0,24.8215,13119,,,,,,
block_2,932,24.775,1.4625,0,24.8181,3388,,,,,,
block_2,931,24.775,1.40625,0,24.8149,13116,,,,,,
block_2,888,24.775,1.35,0,24.8118,3380,,,,,,
block_2,887,24.775,1.29375,0,24.8088,13083,,,,,,
block_2,884,24.775,1.2375,0,24.8059,3379,,,,,,
block_2,883,24.775,1.18125,0,24.8031,13080,,,,,,
block_2,872,24.775,1.125,0,24.8005,3377,,,,,,
block_2,871,24.775,1.06875,0,24.798,13071,,,,,,
block_2,868,24.775,1.0125,0,24.7957,3376,,,,,,
block_2,867,24.775,0.95625,0,24.7934,13068,,,,,,
block_2,688,24.775,0.9,0,24.7913,3342,,,,,,
block_2,687,24.775,0.84375,0,24.7894,12935,,,,,,
block_2,684,24.775,0.7875,0,24.7875,3341,,,,,,
block_2,683,24.775,0.73125,0,24.7858,12932,,,,,,
block_2,672,24.775,0.675,0,24.7842,3339,,,,,,
block_2,671,24.775,0.61875,0,24.7827,12923,,,,,,
block_2,668,24.775,0.5625,0,24.7814,3338,,,,,,
block_2,667,24.775,0.50625,0,24.7802,12920,,,,,,
block_2,624,24.775,0.45,0,24.7791,3330,,,,,,
